,song_name,speech_name,motion_type,ir_type,speech_xy,data_point,listener_x,listener_y,listener_azi,snr,locq
0,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",,,,,inf,1.0
1,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",,,,,0.0,0.3325976015754089
2,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L1,0.0,0.5,0.0,6.182235993344278,0.6287418867443807
3,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L2,1.0,-0.5,0.0,-0.25049716571692926,0.5294082163966675
4,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L3,-1.0,1.5,0.0,13.135568653488864,0.7460130911145187
5,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L4,1.0,2.0,0.0,16.589560389267618,0.8256094795488141
6,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",,,,,inf,1.0
7,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",,,,,0.0,0.20665031816090318
8,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L1,0.0,0.5,0.0,5.21584228038941,0.47906716006574734
9,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L2,1.0,-0.5,0.0,-1.451065147264508,0.37967883086039883
10,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L3,-1.0,1.5,0.0,12.094937075673116,0.5940483766580934
11,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L4,1.0,2.0,0.0,15.414208806689427,0.676398628915014
12,Matthew Entwistle - Dont You Ever,clnsp1006,translational,HRIR,"(2, 0)",,,,,inf,1.0
13,Matthew Entwistle - Dont You Ever,clnsp1006,translational,HRIR,"(2, 0)",,,,,0.0,0.3194255724660934
14,Matthew Entwistle - Dont You Ever,clnsp1006,translational,HRIR,"(2, 0)",L1,0.0,0.0,0.0,-0.4963137797086574,0.558645015831715
15,Matthew Entwistle - Dont You Ever,clnsp1006,translational,HRIR,"(2, 0)",L2,-1.0,0.5,0.0,4.800919641673168,0.6433824360118222
16,Matthew Entwistle - Dont You Ever,clnsp1006,translational,HRIR,"(2, 0)",L3,1.0,2.0,0.0,10.27342186790369,0.7082052072991231
17,Matthew Entwistle - Dont You Ever,clnsp1006,translational,HRIR,"(2, 0)",L4,-1.0,2.0,0.0,13.655771911150964,0.7659555155048526
18,Skelpolu - Together Alone,clnsp544,translational,HRIR,"(0, -2)",,,,,inf,1.0
19,Skelpolu - Together Alone,clnsp544,translational,HRIR,"(0, -2)",,,,,0.0,0.27528386937258564
20,Skelpolu - Together Alone,clnsp544,translational,HRIR,"(0, -2)",L1,0.0,0.5,0.0,6.482446788489057,0.520765602204443
21,Skelpolu - Together Alone,clnsp544,translational,HRIR,"(0, -2)",L2,1.0,-0.5,0.0,-0.020443832395827144,0.423824220237437
22,Skelpolu - Together Alone,clnsp544,translational,HRIR,"(0, -2)",L3,-1.0,1.5,0.0,13.208071943875336,0.6368623130031594
23,Skelpolu - Together Alone,clnsp544,translational,HRIR,"(0, -2)",L4,1.0,2.0,0.0,16.334389661479182,0.702729508396029
24,Skelpolu - Together Alone,clnsp980,translational,HRIR,"(2, 0)",,,,,inf,1.0
25,Skelpolu - Together Alone,clnsp980,translational,HRIR,"(2, 0)",,,,,0.0,0.3505324793854397
26,Skelpolu - Together Alone,clnsp980,translational,HRIR,"(2, 0)",L1,0.0,0.0,0.0,0.4352022239395481,0.5404645188976263
27,Skelpolu - Together Alone,clnsp980,translational,HRIR,"(2, 0)",L2,-1.0,0.5,0.0,5.533706451042114,0.624539957933092
28,Skelpolu - Together Alone,clnsp980,translational,HRIR,"(2, 0)",L3,1.0,2.0,0.0,10.69847066602961,0.6769721127931579
29,Skelpolu - Together Alone,clnsp980,translational,HRIR,"(2, 0)",L4,-1.0,2.0,0.0,14.05741700420419,0.7435721694967784
30,Juliet's Rescue - Heartbeats,clnsp453,translational,HRIR,"(0, -2)",,,,,inf,1.0
31,Juliet's Rescue - Heartbeats,clnsp453,translational,HRIR,"(0, -2)",,,,,0.0,0.2955331747335624
32,Juliet's Rescue - Heartbeats,clnsp453,translational,HRIR,"(0, -2)",L1,0.0,0.5,0.0,5.924700239946077,0.5377628030338397
33,Juliet's Rescue - Heartbeats,clnsp453,translational,HRIR,"(0, -2)",L2,1.0,-0.5,0.0,-0.43819008803104964,0.4518389352569126
